task	candidates	reference_sites	matched_positives	AUPRC	window_kb
donor	1236362	3403	3403	0.946067142	5
acceptor	1245749	3438	3438	0.945073486	5
start	411520	1281	1281	0.724980266	5
stop	1060569	1265	1265	0.519160382	5
donor	1236362	3403	3403	0.947242068	10
acceptor	1245749	3438	3438	0.945438703	10
start	411520	1281	1281	0.717573978	10
stop	1060569	1265	1265	0.533741436	10
donor	1236362	3403	3403	0.948669019	20
acceptor	1245749	3438	3438	0.946899824	20
start	411520	1281	1281	0.749659866	20
stop	1060569	1265	1265	0.512989195	20
donor	1236362	3403	3403	0.948883372	30
acceptor	1245749	3438	3438	0.948056047	30
start	411520	1281	1281	0.739944959	30
stop	1060569	1265	1265	0.495738566	30
donor	1236362	3403	3403	0.951435539	40
acceptor	1245749	3438	3438	0.949366881	40
start	411520	1281	1281	0.747369317	40
stop	1060569	1265	1265	0.487174269	40
donor	1236362	3403	3403	0.951625742	80
acceptor	1245749	3438	3438	0.945021324	80
start	411520	1281	1281	0.721472127	80
stop	1060569	1265	1265	0.491025985	80
