task	candidates	reference_sites	matched_positives	AUPRC	window_kb
donor	1236362	3403	3403	0.953854236	5
acceptor	1245749	3438	3438	0.952785516	5
start	411520	1281	1281	0.807089587	5
stop	1060569	1265	1265	0.628648456	5
donor	1236362	3403	3403	0.959420280	10
acceptor	1245749	3438	3438	0.955151251	10
start	411520	1281	1281	0.827950711	10
stop	1060569	1265	1265	0.705133062	10
donor	1236362	3403	3403	0.954755569	20
acceptor	1245749	3438	3438	0.953962123	20
start	411520	1281	1281	0.808558352	20
stop	1060569	1265	1265	0.620173172	20
donor	1236362	3403	3403	0.963357254	30
acceptor	1245749	3438	3438	0.954954118	30
start	411520	1281	1281	0.838726367	30
stop	1060569	1265	1265	0.695833616	30
donor	1236362	3403	3403	0.962290320	40
acceptor	1245749	3438	3438	0.961210901	40
start	411520	1281	1281	0.826206436	40
stop	1060569	1265	1265	0.686385046	40
donor	1236362	3403	3403	0.960360594	80
acceptor	1245749	3438	3438	0.958170164	80
start	411520	1281	1281	0.837349724	80
stop	1060569	1265	1265	0.691698898	80
