method	sn	pr	f1	predicted_loci	matched_loci	missed_loci	novel_loci	window_kb
EviAnn+UniAnn	88.900000000	91.400000000	90.132667800	1007	951	46	15	5
UniAnn	69.900000000	78.500000000	73.950808600	953	748	96	9	5
EviAnn+UniAnn	88.800000000	91.200000000	89.984000000	1026	950	45	20	10
UniAnn	72.400000000	78.600000000	75.372715200	986	775	87	15	10
EviAnn+UniAnn	87.300000000	91.500000000	89.350671100	982	934	62	14	20
UniAnn	64.300000000	75.700000000	69.535857100	909	688	130	6	20
EviAnn+UniAnn	87.900000000	91.200000000	89.519598000	1011	941	58	17	30
UniAnn	71.900000000	79.300000000	75.418915300	970	769	98	11	30
EviAnn+UniAnn	86.400000000	91.400000000	88.829696300	984	924	72	14	40
UniAnn	65.100000000	75.800000000	70.043718900	919	697	134	7	40
EviAnn+UniAnn	89.200000000	91.200000000	90.188913500	1023	954	40	15	80
UniAnn	71.700000000	77.600000000	74.533422600	989	767	76	9	80
