task	window_kb	n_true_sites	mean	median	q10	q25	q75	q90
donor	5	3403	0.878968855	0.981256843	0.586656284	0.933039695	0.991386354	0.994381368
donor	10	3403	0.904358626	0.984771073	0.760724008	0.957909375	0.9913342	0.993832004
donor	20	3403	0.860961248	0.95825845	0.566250789	0.903908849	0.973704368	0.980257988
donor	30	3403	0.880508393	0.969345033	0.669653535	0.91979906	0.98295778	0.98744632
donor	40	3403	0.871588884	0.974277377	0.565289938	0.920021474	0.986800313	0.990722704
donor	80	3403	0.882251895	0.973582089	0.660999238	0.922599167	0.984081089	0.987947929
acceptor	5	3438	0.873679444	0.975714028	0.577680361	0.905803472	0.989961609	0.993860114
acceptor	10	3438	0.885418978	0.981539607	0.6263179	0.938576788	0.990986362	0.994231397
acceptor	20	3438	0.830665571	0.945056736	0.421293092	0.852843046	0.970536515	0.980395603
acceptor	30	3438	0.872355686	0.972502023	0.586725122	0.912442774	0.986817434	0.991185874
acceptor	40	3438	0.859131101	0.969895601	0.479115292	0.899123773	0.984769151	0.989726526
acceptor	80	3438	0.876017354	0.970793545	0.64313845	0.923109829	0.982504308	0.987052178
start	5	1281	0.666345659	0.837537766	0.0393800437	0.408592492	0.949375927	0.979840875
start	10	1281	0.727673394	0.933902144	0.0462768339	0.52928102	0.981963158	0.991747141
start	20	1281	0.611591113	0.765120149	0.0253954362	0.278135985	0.924103022	0.972512305
start	30	1281	0.617451575	0.785016418	0.0314338654	0.290208727	0.931388974	0.976153791
start	40	1281	0.63791177	0.793048918	0.0352598429	0.31567046	0.940472901	0.975630522
start	80	1281	0.615046667	0.771215916	0.0260100402	0.218051374	0.956398427	0.983451724
stop	5	1265	0.465398918	0.451913923	0.0274765689	0.119766496	0.813935161	0.933872604
stop	10	1265	0.489443398	0.472501278	0.0197078012	0.122552156	0.866102934	0.960622013
stop	20	1265	0.468885134	0.438479066	0.0131700721	0.104108453	0.842898965	0.961841118
stop	30	1265	0.452235285	0.421043575	0.011992394	0.105036706	0.800436974	0.928976929
stop	40	1265	0.43773888	0.411319315	0.016406237	0.105829619	0.752196491	0.913257611
stop	80	1265	0.446840834	0.399420768	0.0137116747	0.0887187496	0.808408678	0.939960682
