task	candidates	reference_sites	matched_positives	AUPRC
donor	11629291	9526	9526	0.875113932
acceptor	16448644	9793	9793	0.843740368
start	4110209	1884	1884	0.382820293
stop	12025506	1843	1843	0.203225204
